374|8|126||[7,18]|[7,18]|*
224|8|126||[9,17]|*|*
281|8|126|-3|[11,21]|[11,21]|*
222|8|126|-4|[12,22]|[12,22]|*
259|8|126||[13,19]|[11,17]|*
443|8|157|*|*|*|*
444|8|157|*|*|*|*
445|8|157|*|*|*|*
446|8|157|*|*|*|*
447|8|157|*|*|*|*
448|8|157|*|*|*|*
449|8|157|*|*|*|*
450|8|157|*|*|*|*
451|8|157|*|*|*|*
452|8|157|*|*|*|*
453|8|157|*|*|*|*
454|8|157|*|*|*|*
462|8|157|*|*|*|*
463|8|157|*|*|*|*
252|8|126||[19,22]|*|*
209|8|126||[7,9],[13,22]|[7,14],[18,22]|*
235|8|126||[15,17]|[8,10]|*
214|8|126||[8,13]|[8,14]|*
522|8|126||[8,13]|[8,14]|*
234|8|126||[13,15],[17,20]|[13,15],[17,20]|*
256|8|126||*|[14,16],[18,21]|*
257|8|126||[17,22]|[14,23]|*
373|8|126||*|[7,24]|[1,7]
225|8|126|-7|15,24]|[15,24]|*
511|8|126||[11,24]|[11,24]|*
401|8|126||[15,24]|[15,24]|*
323|8|126||[11,24]|[11,24]|*
206|9|103|8|[0,9]|[0,9]|*
254|9|103||[7,10],[13,16]|[2,5],[7,10],[13,16]|*
255|9|103||[7,19]|[7,18]|*
204|9|103||[7,24]|[1,24]|[1,7]
72|9|107|2|[6,16]|[6,16]|*
75|9|107|2|[6,16]|[6,16]|*
207|9|107|1|[7,17]|[7,17]|*
296|9|103||[11,15]|[12,16]|*
415|9|105||[12,16]|[13,22]|*
120|9|105|2|[6,16]|[6,16]|*
193|9|106||*|[7,10],[13,15]|*
80|9|106|+5:30|[16,19]|[16,19]|*
69|9|106||[7,13],[17,24]|[7,8],[13,24]|[1,2]
35|9|106||[9,11],[12,17]|[9,18]|*
71|9|106|5:30|[16,20]|[16,20]
216|9|103||[16,21]|[16,21]|*
376|10|148|1|[5,15]|[5,15]|*
441|10|148|2|[6,16]|[6,16]|*
325|10|148|2|[6,16]|[6,16]|*
360|10|148||[7,16]|*|*
194|10|115||[8,20]|[9,20]|*
266|10|115||[9,16]|[9,20]|*
280|10|115|2|[6,16]|[6,16]|*
268|10|115||[7,16]|[7,11]|*
283|10|115|2|[6,16]|[6,16]|*
433|10|115|2|[6,16]|[6,16]|*
348|10|115|-4|[12,22]|[12,22]|*
210|10|33||[7,20]|*|*
468|10|112|-7|[15,25]|[15,25]|*
226|10|33|2|[6,16]|[6,16]|*
287|10|33|2|[6,16]|[6,16]|*
367|10|33|2|[6,16]|[6,16]|*
338|10|33||*|[8,17]|*
307|10|117|2|[6,16]|[6,16]|*
456|10|118|2|[6,16]|[6,16]|*
482|10|118|2|[6,16]|[6,16]|*
390|10|118||[7,8],[11,14]|[6,17]|*
359|10|114|2|[6,16]|[6,16]|*
387|10|114|2|[6,16]|[6,16]|*
406|10|114|-4|[12,22]|[12,22]|*
215|10|116||[11,19]|[11,20]|*
267|10|116||*|[8,16]|*
459|10|118|10|[22,8]|[22,8]|*
399|10|118|2|[6,16]|[6,16]|*
457|10|118|2|[6,16]|[6,16]|*
458|10|118|-7|[15,24]|[15,24]|*
343|10|121||[10,18]|[10,18]|*
346|10|121||[9,20]|[10,19]|*
342|10|121||[9,10]|[12,23]|*
11|11|94|2|[6,16]|[6,16]|*
45|11|94|2|[6,16]|[6,16]|*
39|11|94|2|[6,16]|[6,16]|*
147|11|94||[7,13],[16,19]|[7,20]|*
167|11|94|2|[6,16]|[6,16]|*
198|11|94|2|[6,16]|[6,16]|*
478|11|94||*|*|*
44|11|94||*|*|*
238|11|94||*|*|*
278|11|92||[7,10]|[9,11]|[1,4]
279|11|92||[8,10],[12,15]|[8,10],[12,15]|*
59|11|95|2|[6,16]|[6,16]|*
156|11|95|2|[6,16]|[6,16]|*
282|11|95|2|[6,16]|[6,16]|*
309|11|95|2|[6,16]|[6,16]|*
110|11|95|-3|[11,21]|[11,21]|*
101|11|95|-3|[11,21]|[11,21]|*
304|11|95||[15,18],[20,24]|[14,18],[20,24]
377|11|92||[13,16]|*|*
274|11|92||[14,17]|*|*
306|11|92||[7,21]|*|*
276|11|92||[16,19]|[16,19]|*
419|11|100|2|[6,16]|[6,16]|*
417|11|100|2|[6,16]|[6,16]|*
416|11|100|2|[6,16]|[6,16]|*
429|11|100|2|[6,16]|[6,16]|*
227|11|98||[7,20]|[6,8],[12,20]|*
269|11|98||[17,24]|[1,5]|[1,5]
392|11|99|2|[6,16]|[6,16]|*
