GEN,TIME,EVAL,BEST,AVG,STDDEV,WORST
75,0.3,4864,0.00e+00,0.00e+00,0.00e+00,0.00e+00
76,0.3,4928,0.00e+00,0.00e+00,0.00e+00,0.00e+00
77,0.3,4992,0.00e+00,0.00e+00,0.00e+00,0.00e+00
78,0.3,5056,0.00e+00,0.00e+00,0.00e+00,0.00e+00
79,0.3,5120,0.00e+00,0.00e+00,0.00e+00,0.00e+00
80,0.4,5184,0.00e+00,0.00e+00,0.00e+00,0.00e+00
81,0.4,5248,0.00e+00,0.00e+00,0.00e+00,0.00e+00
82,0.4,5312,0.00e+00,0.00e+00,0.00e+00,0.00e+00
83,0.4,5376,0.00e+00,0.00e+00,0.00e+00,0.00e+00
84,0.4,5440,0.00e+00,0.00e+00,0.00e+00,0.00e+00
85,0.4,5504,0.00e+00,0.00e+00,0.00e+00,0.00e+00
86,0.4,5568,0.00e+00,0.00e+00,0.00e+00,0.00e+00
87,0.4,5632,0.00e+00,0.00e+00,0.00e+00,0.00e+00
88,0.4,5696,0.00e+00,0.00e+00,0.00e+00,0.00e+00
89,0.4,5760,0.00e+00,0.00e+00,0.00e+00,0.00e+00
90,0.4,5824,0.00e+00,0.00e+00,0.00e+00,0.00e+00
91,0.5,5888,0.00e+00,0.00e+00,0.00e+00,0.00e+00
92,0.5,5952,0.00e+00,0.00e+00,0.00e+00,0.00e+00
93,0.5,6016,0.00e+00,0.00e+00,0.00e+00,0.00e+00
94,0.5,6080,0.00e+00,0.00e+00,0.00e+00,0.00e+00
95,0.5,6144,0.00e+00,0.00e+00,0.00e+00,0.00e+00
96,0.5,6208,0.00e+00,0.00e+00,0.00e+00,0.00e+00
97,0.5,6272,0.00e+00,0.00e+00,0.00e+00,0.00e+00
98,0.5,6336,0.00e+00,0.00e+00,0.00e+00,0.00e+00
99,0.5,6400,0.00e+00,0.00e+00,0.00e+00,0.00e+00
100,0.5,6464,0.00e+00,0.00e+00,0.00e+00,0.00e+00
101,0.6,6528,0.00e+00,0.00e+00,0.00e+00,0.00e+00
102,0.7,6592,0.00e+00,0.00e+00,0.00e+00,0.00e+00
103,0.7,6656,0.00e+00,0.00e+00,0.00e+00,0.00e+00
104,0.7,6720,0.00e+00,0.00e+00,0.00e+00,0.00e+00
105,0.7,6784,0.00e+00,0.00e+00,0.00e+00,0.00e+00
106,0.7,6848,0.00e+00,0.00e+00,0.00e+00,0.00e+00
107,0.7,6912,0.00e+00,0.00e+00,0.00e+00,0.00e+00
108,0.7,6976,0.00e+00,0.00e+00,0.00e+00,0.00e+00
109,0.7,7040,0.00e+00,0.00e+00,0.00e+00,0.00e+00
110,0.7,7104,0.00e+00,0.00e+00,0.00e+00,0.00e+00
111,0.7,7168,0.00e+00,0.00e+00,0.00e+00,0.00e+00
112,0.7,7232,0.00e+00,0.00e+00,0.00e+00,0.00e+00
113,0.7,7296,0.00e+00,0.00e+00,0.00e+00,0.00e+00
114,0.7,7360,0.00e+00,0.00e+00,0.00e+00,0.00e+00
115,0.7,7424,0.00e+00,0.00e+00,0.00e+00,0.00e+00
116,0.7,7488,0.00e+00,0.00e+00,0.00e+00,0.00e+00
117,0.7,7552,0.00e+00,0.00e+00,0.00e+00,0.00e+00
118,0.7,7616,0.00e+00,0.00e+00,0.00e+00,0.00e+00
119,0.8,7680,0.00e+00,0.00e+00,0.00e+00,0.00e+00
120,0.8,7744,0.00e+00,0.00e+00,0.00e+00,0.00e+00
121,0.8,7808,0.00e+00,0.00e+00,0.00e+00,0.00e+00
122,0.8,7872,0.00e+00,0.00e+00,0.00e+00,0.00e+00
123,0.8,7936,0.00e+00,0.00e+00,0.00e+00,0.00e+00
124,0.8,8000,0.00e+00,0.00e+00,0.00e+00,0.00e+00
125,0.8,8064,0.00e+00,0.00e+00,0.00e+00,0.00e+00
126,0.8,8128,0.00e+00,0.00e+00,0.00e+00,0.00e+00
127,0.8,8192,0.00e+00,0.00e+00,0.00e+00,0.00e+00
128,0.8,8256,0.00e+00,0.00e+00,0.00e+00,0.00e+00
129,0.8,8320,0.00e+00,0.00e+00,0.00e+00,0.00e+00
130,0.8,8384,0.00e+00,0.00e+00,0.00e+00,0.00e+00
131,0.8,8448,0.00e+00,0.00e+00,0.00e+00,0.00e+00
132,0.9,8512,0.00e+00,0.00e+00,0.00e+00,0.00e+00
133,0.9,8576,0.00e+00,0.00e+00,0.00e+00,0.00e+00
134,0.9,8640,0.00e+00,0.00e+00,0.00e+00,0.00e+00
135,0.9,8704,0.00e+00,0.00e+00,0.00e+00,0.00e+00
136,0.10,8768,0.00e+00,0.00e+00,0.00e+00,0.00e+00
137,0.10,8832,0.00e+00,0.00e+00,0.00e+00,0.00e+00
138,0.10,8896,0.00e+00,0.00e+00,0.00e+00,0.00e+00
139,0.10,8960,0.00e+00,0.00e+00,0.00e+00,0.00e+00
140,0.10,9024,0.00e+00,0.00e+00,0.00e+00,0.00e+00
141,0.10,9088,0.00e+00,0.00e+00,0.00e+00,0.00e+00
142,0.10,9152,0.00e+00,0.00e+00,0.00e+00,0.00e+00
143,0.10,9216,0.00e+00,0.00e+00,0.00e+00,0.00e+00
144,0.10,9280,0.00e+00,0.00e+00,0.00e+00,0.00e+00
145,0.11,9344,0.00e+00,0.00e+00,0.00e+00,0.00e+00
146,0.11,9408,0.00e+00,0.00e+00,0.00e+00,0.00e+00
147,0.11,9472,0.00e+00,0.00e+00,0.00e+00,0.00e+00
148,0.11,9536,0.00e+00,0.00e+00,0.00e+00,0.00e+00
149,0.11,9600,0.00e+00,0.00e+00,0.00e+00,0.00e+00
150,0.12,9664,0.00e+00,0.00e+00,0.00e+00,0.00e+00
151,0.12,9728,0.00e+00,0.00e+00,0.00e+00,0.00e+00
152,0.12,9792,0.00e+00,0.00e+00,0.00e+00,0.00e+00
153,0.13,9856,0.00e+00,0.00e+00,0.00e+00,0.00e+00
154,0.13,9920,0.00e+00,0.00e+00,0.00e+00,0.00e+00
155,0.14,9984,0.00e+00,0.00e+00,0.00e+00,0.00e+00
156,0.14,10048,0.00e+00,0.00e+00,0.00e+00,0.00e+00
157,0.14,10112,0.00e+00,0.00e+00,0.00e+00,0.00e+00
158,0.14,10176,0.00e+00,0.00e+00,0.00e+00,0.00e+00
159,0.15,10240,0.00e+00,0.00e+00,0.00e+00,0.00e+00
160,0.15,10304,0.00e+00,0.00e+00,0.00e+00,0.00e+00
161,0.16,10368,0.00e+00,0.00e+00,0.00e+00,0.00e+00
162,0.16,10432,0.00e+00,0.00e+00,0.00e+00,0.00e+00
163,0.17,10496,0.00e+00,0.00e+00,0.00e+00,0.00e+00
164,0.17,10560,0.00e+00,0.00e+00,0.00e+00,0.00e+00
165,0.18,10624,0.00e+00,0.00e+00,0.00e+00,0.00e+00
166,0.18,10688,0.00e+00,0.00e+00,0.00e+00,0.00e+00
167,0.19,10752,0.00e+00,0.00e+00,0.00e+00,0.00e+00
168,0.19,10816,0.00e+00,0.00e+00,0.00e+00,0.00e+00
169,0.19,10880,0.00e+00,0.00e+00,0.00e+00,0.00e+00
170,0.20,10944,0.00e+00,0.00e+00,0.00e+00,0.00e+00
171,0.20,11008,0.00e+00,0.00e+00,0.00e+00,0.00e+00
172,0.20,11072,0.00e+00,0.00e+00,0.00e+00,0.00e+00
173,0.20,11136,0.00e+00,0.00e+00,0.00e+00,0.00e+00
174,0.22,11200,0.00e+00,0.00e+00,0.00e+00,0.00e+00
175,0.22,11264,0.00e+00,0.00e+00,0.00e+00,0.00e+00
